reference,abstract
"René Audubert. Action de la lumière visible sur les électrodes. Journal de Physique et le Radium, 1925, 6 (10), pp.313-322. ⟨10.1051/jphysrad:01925006010031300⟩. ⟨jpa-00205221⟩","Un courant électrique prend naissance entre deux lames métalliques identiques plongées dans un électrolyte, si l'on soumet l'une d'elles à l'action de la lumière. Beaucoup d'expérimentateurs ont étudié ce phénomène et l'ont attribué soit à des effets chimiques, soit à des effets thermiques. L'auteur expose des expériences nouvelles permettant d'éliminer l'une et l'autre de ces explications et conduisant à l'hypothése d'un mécanisme photo-électrique, soit par émission d'électrons, soit par émission d'ions."
"Bilal Benmahi. Étude de la dynamique et de la composition des atmosphères des planètes géantes : préparation de la mission JUICE. Astrophysique [astro-ph]. Université de Bordeaux, 2022. Français. ⟨NNT : 2022BORD0242⟩. ⟨tel-03847662⟩","Le Jupiter Icy Moon Explorer (JUICE) est la prochaine grande mission de l’Agence spatiale Européenne. JUICE embarquera 10 instruments et sera lancé en 2023 pour étudier le système jovien à partir de 2031 et pendant 4 ans. Parmi ses instruments, le Submillimeter Wave Instrument (SWI, PI P. Hartogh, MPS, Allemagne) nous intéresse plus particulièrement. Il s’agit d’un télescope de 29 cm de diamètre qui observera Jupiter et les satellites galiléens dans le domaine submillimétrique. SWI est destiné à étudier la composition ainsi que la dynamique des atmosphères de ces corps mais aussi les surfaces des satellites. Ce travail de thèse consiste à analyser et interpréter des observations de Jupiter et de Saturne, prises avec des télescopes au sol et spatiaux, pour préparer le programme scientifique de JUICE/SWI.Tout d’abord, nous avons étudié l’évolution temporelle de l’abondance d’H2O dans la stratosphère de Jupiter à partir de deux décennies de données recueillies par le télescope spatial Odin. Cette première étude nous permet notamment de prédire l’observabilité par SWI d’H2O dans la stratosphère de Jupiter grâce à nos modélisations photochimiques.Nous avons également analysé des observations ALMA (Atacama Large Millimeter/submillimeter Array) de CO et d’HCN, qui ont initialement été déposés dans la stratosphère de Jupiter lors de la désintégration de la comète Shoemaker-Levy-9 en 1994. Comme H2O, ces composés seront observables dans les bandes spectrales de SWI. Nous avons développé une méthode qui permet de mesurer directement l’effet Doppler induit par les vents atmosphériques sur les raies spectrales, grâce à la très haute résolution spectrale et spatiale d’ALMA. Cette méthode, qui permet d’étudier la dynamique atmosphérique des planètes géantes, est basée sur la technique de modélisation Markov Chain Monte Carlo.Nos résultats dans la haute stratosphère de Jupiter indiquent que des jets sont présents dans la zone équatoriale. Ces mesures de vent, jumelées avec des mesures concomitantes de la température stratosphériques, nous ont permis de caractériser la circulation stratosphérique équatoriale grâce à l’équation du vent thermique. Nous avons ainsi mis en évidence un empilement vertical de jets équatoriaux dirigés alternativement vers l’ouest et vers l’est.Nous avons appliqué cette même technique de mesure de vents à des observations ALMA de CO et d’HCN dans la stratosphère de Saturne. Nos résultats révèlent une circulation équatoriale inédite. Nous retrouvons, en effet, le grand jet équatorial de Saturne, auparavant observé par Hubble et Cassini au niveau des nuages entre 60 et 2000 mbar de pression, à 0.1 mbar, c’est-à-dire 500 km plus haut que les observations Hubble et Cassini.Par ailleurs, nous avons découvert que les zones polaires de Jupiter et de Saturne sont le siège d’une chimie et d’une dynamique particulières. En effet, dans la stratosphère de Jupiter, nos observations Odin et ALMA montrent qu’H2O et HCN sont détruits plus rapidement dans ces zones qu’aux latitudes basses et moyennes. Par ailleurs, nous avons détecté la présence de jets auroraux qui sont positionnés sous les ovales auroraux nord et sud de Jupiter. Il semble qu’un jet similaire soit également présent sous l’ovale auroral nord de Saturne. Nous pensons que ces jets pourraient former des vortex géants jusqu’à l’ionosphère où une dynamique similaire a été détectée sur Jupiter. Il se pourrait donc que l’on soit en présence de vortex gigantesques qui participeraient au confinement de la matière dans les zones aurorales où des électrons énergétiques précipitent et contribuent à la chimie. C’est pourquoi nous avons développé un outil de modélisation du transport des électrons magnétosphériques afin de le coupler à un modèle photochimique ion-neutre dans les zones aurorales de Jupiter et ainsi mieux comprendre la chimie et la dynamique de ces régions particulière. À terme, nous prévoyons d’appliquer ce modèle également à Saturne."
"Quentin Nénon. Etude et modélisation des ceintures de radiation de Jupiter. Physique de l'espace [physics.space-ph]. Doctorat de l'Université de Toulouse délivré par l'Institut Supérieur de l'Aéronautique et de l'Espace (ISAE), 2018. Français. ⟨NNT : ⟩. ⟨tel-01899128⟩","Les ceintures de radiations de la planète géante Jupiter sont constituées d’électrons, de protons et d’ions lourds de très haute énergie. Ces particules chargées représentent un risque majeur pour les satellites artificiels cherchant à explorer Jupiter. Dans le même temps, comprendre l’origine et la répartition de ces particules est une problématique fondamentale du domaine de la Physique de l’Espace. Le modèle physique Salammbô de l’ONERA répond aux deux enjeux précédents. Il a été développé pour le cas de la planète géante au cours de deux thèses successives qui se sont terminées en 2004 [Santos-Costa, 2001 ; Sicard, 2004]. Les travaux précédents ont permis de mettre en place un modèle d’électrons qui s’étend de l’atmosphère de Jupiter jusqu’à l’orbite d’Europe (9 Rj) et un modèle de protons jusqu’à l’orbite de la lune volcanique Io (6 Rj ). Depuis cette date, la mission américaine Galileo, qui fut en orbite autour de Jupiter jusqu’en 2003, a livré de nombreuses informations sur les ceintures de radiations et sur l’environnement qui influence celles-ci. Cette thèse revisite le modèle d’électrons et étend le modèle de protons jusqu’à l’orbite d’Europe. Cela permet, en particulier, de montrer que les ondes électromagnétiques se propageant entre les orbites des lunes Io et Europe induisent des pertes significatives de particules, celles-ci étant précipitées dans l’atmosphère de Jupiter. Les modèles proposés au cours de cette thèse sont également mieux à même de prédire l’environnement extrême et limitant des ceintures de radiations que les précédents travaux."
Lilian Heydel. Étude de l’atmosphère de Jupiter : chimie &amp; dynamique. 2023. ⟨hal-04195905v3⟩,"Cette synthèse documentaire se penche sur l'étude approfondie de l'atmosphère de Jupiter, en se focalisant sur sa chimie et sa dynamique. Nous débutons par une exploration de la composition atmosphérique dominée par des éléments tels que l'hydrogène, l'hélium, et d'autres molécules associées. Une attention particulière est accordée au méthane, dont le rôle significatif dans la dynamique chimique est mis en évidence, notamment à travers ses réactions de photolyse sous l'influence des rayonnements solaires et internes. Un élément crucial de l'atmosphère jovienne est la présence de sels chimiques, principalement de l'ammoniac NH3 et de l'hydrosulfure d'ammonium NH4SH, ainsi que dans une moindre mesure de l'eau H2O. Cette couche atmosphérique joue un rôle majeur dans la coloration distincte des différentes zones de Jupiter; l'ammoniac est montré comme responsable de la couleur blanchâtre des zones et le mélange de avec l'acétylène C2H2 est associé à la couleur brunâtre des zones, tandis que le NH4SH, une fois irradié, pourrait expliquer le rouge caractéristique de la Grande Tâche Rouge. Ensuite, une analyse détaillée de la dynamique atmosphérique est entreprise. La thermodynamique spécifique à Jupiter, couplée à sa rapide rotation planétaire Ω, génère un environnement barotropique et géostrophique favorable à la formation de tourbillons et de puissants jets zonaux. Ces mécanismes dynamiques contribuent à la variété de phénomènes remarquables observés dans l'atmosphère jovienne tels que la très ancienne Grande Tâche Rouge ou la présence de groupes de cyclones distincts entourant des cyclones centraux au niveau des deux pôles. En somme, cette synthèse documentaire offre un aperçu complet des éléments chimiques et dynamiques qui gouvernent l'atmosphère complexe de Jupiter."
"Didier Gonçalves. Mise en œuvre et exploitation d'un spectromètre imageur pour l'étude sismique et la dynamique atmosphérique des planètes géantes. Planétologie. COMUE Université Côte d'Azur (2015 - 2019), 2018. Français. ⟨NNT : 2018AZUR4009⟩. ⟨tel-01865842⟩","Connaitre précisément la structure interne des corps célestes est indispensable pour, à la fois, comprendre la physique qui régit leur existence et le processus qui leur a donné naissance. La sismologie, d’abord appliquée à la Terre puis au soleil, s’est révélée être un outil très efficace pour sonder leurs intérieurs. Dans les années 70 (Vorontsov et al 1976), des premiers travaux théoriques ont étudié la possibilité d’une sismologie des planètes géantes gazeuses. Les premières tentatives de mesures d’oscillations ont eu lieu à la fin des années 80. La détection des modes d’oscillations de Jupiter s’est avérée une entreprise très délicate en raison de sa rotation rapide. Pour augmenter les chances de détection, un instrument spécifique a été construit au début des années 2000 à l’OCA. Cet instrument, appelé SYMPA, est un spectromètre imageur de type Mach-Zehnder capable de produire une carte de vitesse radiale de Jupiter. Une détection de modes d’oscillations sur Jupiter par cet instrument a été publiée par Gaulme et al en 2011. Une version améliorée de l’instrument (appelé DSI) a été proposée pour la mission spatiale JUICE à destination de Jupiter, et un nouveau prototype a été construit dans ce but. Par la suite, le projet s’est réorienté vers un programme d’observation depuis le sol sous la forme d’un réseau de trois télescopes répartis en longitude (USA, France, Japon) et financé par l’ANR à partir de 2015 (ANR JOVIAL). L’intérêt de la mise en réseau est d’assurer la continuité des données (météo mise à part). L’instrument étant capable de produire des cartes de vitesse radiales, le projet permet également l’étude de la dynamique atmosphérique des planètes géantes. Ce travail de thèse s’inscrit dans le contexte de préparation de JOVIAL, avec pour objectif de caractériser l’instrument en laboratoire et d’identifier les problèmes liés aux conditions réelles d’observation. Les mesures en laboratoires ont montré des performances conformes aux attentes, avec un bruit de mesure propre à l’instrument inférieur au bruit de photon attendu sur Jupiter. Les premières mesures sur le ciel avec un télescope ont mis en évidence une sensibilité de l’instrument au degré de polarisation de la lumière ainsi qu’une dérive de la vitesse mesurée liée aux instabilités de position de la pupille pendant les observations. Le design de l’instrument et de son interface avec le télescope a été revu pour résoudre ces problèmes. Plusieurs campagnes d’observations de Jupiter ont été réalisées, permettant de mettre sur pied une chaine complète de traitement des données, dont la validité a été vérifiée par des simulations réalistes. Les observations de Jupiter ont donné des résultats scientifiques particulièrement intéressants. L’analyse des données de deux campagnes de 2015 et 2016 a fourni des séquences temporelles de cartes de vitesses radiales de Jupiter. Une première étude a consisté à chercher dans ces cartes la signature des vents zonaux et de les comparer aux mesures réalisées par suivi des nuages sur des images résolues (cloud-tracking). Une telle mesure n’avait jamais été faite par effet Doppler. Le résultat, bien qu’affecté par des biais de mesures identifiés, montre des profils de vents stables d’une année sur l’autre et en cohérence avec les valeurs issues du cloud-tracking, sauf au niveau de la partie nord de la bande équatoriale de Jupiter. La mesure Doppler suggère en effet une vitesse de vent bien inférieure à la vitesse apparente dans cette zone, ce qui a potentiellement des implications sur les modèles de dynamique atmosphérique. Ces résultats sont très importants pour mieux comprendre les mesures de la sonde Juno, actuellement en orbite autour de Jupiter. L’analyse fréquentielle des données temporelles a été abordée en fin de thèse. Les analyses préliminaires ne semblent pas pour l’instant reproduire la détection de SYMPA. Une analyse plus poussée est nécessaire avant de conclure à une absence du signal."
"Aurélien Stolzenbach. Etude de la photochimie de Vénus à l'aide d'un modèle de circulation générale. Instrumentation et méthodes pour l'astrophysique [astro-ph.IM]. Université Pierre et Marie Curie - Paris VI, 2016. Français. ⟨NNT : 2016PA066413⟩. ⟨tel-01415771v3⟩","L'étude de la planète Vénus est particulièrement intéressante car elle possède de nombreuses caractéristiques avec la Terre, des dimensions et une composition semblables. Malgré ces éléments en commun, ces planètes sont foncièrement différentes à notre époque. Vénus possède une atmosphère cent fois plus dense à sa surface que celle de la Terre. Cette atmosphère est composée essentiellement de dioxyde de carbone là où l'atmosphère terrestre est composée d'un mélange de diazote et d'oxygène moléculaire. La composition chimique de l'atmosphère vénusienne pose de nombreux problèmes aux chimistes. Vénus fait l'objet d'observations modernes depuis la Terre, de missions spatiales depuis les années 70 et l'ESA a lancé en 2005 la mission Venus Express qui est restée en orbite autour de Vénus jusqu'en décembre 2014. L'explication de la distribution et des concentrations des espèces chimiques mesurées est étudiée par une communauté de modélisateurs en parallèle des observations. Cependant, ces modélisations étaient contraintes à utiliser des modèles 1D qui contenaient de nombreuses paramétrisations. Durant ma thèse j'ai mis à jour un modèle chimique, développé au LATMOS, et développé un modèle des nuages de Vénus qui ont tout deux été introduit à un GCM 3D de Vénus développé au LMD. Ce nouveau modèle permet d'appliquer en 3D les hypothèses les plus récentes sur les cycles chimiques vénusiens, tels que la décroissance du dioxyde de soufre et de la vapeur d'eau dans la couche nuageuse, les variations en latitudes du monoxyde de carbone, la stabilité du dioxyde de carbone, la composition des gouttelettes des nuages de Vénus et la masse condensée dans les nuages."
"Loïc Rossi. Étude des nuages de Vénus par polarimétrie avec les données de l’instrument SPICAV-IR à bord de Venus Express. Planétologie et astrophysique de la terre [astro-ph.EP]. Université de Versailles-Saint Quentin en Yvelines, 2015. Français. ⟨NNT : 2015VERS041V⟩. ⟨tel-01327236v2⟩","Vénus, bien que de taille et de masse très similaire à la Terre, se révèle en fait un monde infernaloù la température de surface atteint 700 K et la pression s’élève à 92 bars. De plus, l’atmosphèreest principalement composée de dioxyde de carbone (à plus de 90 %). Bien que le corps solide aitune période de rotation très lente et rétrograde, l’atmosphère est elle en superrotation avec unepériode de quatre jours environ au sommet des nuages, avec des vents zonaux pouvant atteindre100 m/s. Observée dans le visible, Vénus ne laisse pas voir sa surface, cachée sous d’épais nuagesd’acide sulfurique qui couvrent en permanence l’intégralité de la planète. Ces nuages jouent unrôle très important dans l’atmosphère vénusienne car ils sont fondamentaux dans le bilan radiatifde la planète de par leur opacité et leur albédo élevé mais aussi dans les cycles chimiques denombreuses espèces, notamment celui du soufre.Arrivée en orbite en avril 2006, la mission européenne Venus Express avait pour objectif d’étudieren détail l’atmosphère de la planète. Parmi ses instruments se trouvait le spectromètre SPICAVdont le canal infrarouge permettait de mesurer le degré de polarisation linéaire de la lumièrediffusée par les nuages. Cette thèse vise à l’exploitation de données acquises par SPICAV-IR quia fonctionné jusqu’à la fin de la mission Venus Express en 2014. Nous présentons la planète Vénuset plus particulièrement les propriétés des nuages qui l’entourent. Nous nous intéresseronsà la polarisation produite par la diffusion de la lumière dans les nuages avant d’expliquer commentSPICAV-IR la mesure. Nous présentons notre modèle de transfert de rayonnement prenanten compte la polarisation et nous analyserons les gloires observées par SPICAV-IR afin de caractériserles propriétés des nuages. Enfin, nous nous intéresserons à la variabilité spatiale des brumessituées au dessus des nuages."
"Claire Ferrier. Interaction du vent solaire avec les planètes non magnétisées Mars et Vénus. Physique [physics]. Université Paul Sabatier - Toulouse III, 2009. Français. ⟨NNT : ⟩. ⟨tel-00431123⟩","Les corps planétaires sans champ magnétique intrinsèque, tels que Mars et Vénus, mais possédant une atmosphère, possèdent une queue magnétosphérique comme celle observée à l'arrière des comètes. Ces queues magnétosphériques sont le résultat de l'interaction directe entre le vent solaire (plasma constitué d'ions et d'électrons éjectés par le Soleil) et l'ionosphère de ces planètes. Une étude comparative de ces deux planètes est aujourd'hui possible. En effet, ASPERA-3 à bord de Mars Express (MEX) est actuellement en orbite autour de Mars et ASPERA-4, réplique d'ASPERA-3, à bord de Venus Express, en orbite autour de Vénus depuis Avril 2006. Ces expériences, construites en partenariat international avec une participation importante du CESR, donnent la possibilité d'étudier et de comparer, au moyen d'une instrumentation identique, l'interaction des deux planètes avec le vent solaire. Il est maintenant admis qu'en l'absence d'obstacle magnétique efficace, comme c'est le cas sur la Terre, protégée par sa magnétosphère, les atmosphères des planètes telles que Mars et Vénus sont soumises à une érosion intense au contact du vent solaire. Les modèles prédisent un effet cumulé très important à l'échelle de milliards d'années, potentiellement capable de dissiper une atmosphère primitive dense, nécessaire au maintient de l'eau sous forme liquide. Cependant, les mesures récentes de MEX montrent que si les échappements de l'atmosphère résultant de cette interaction sont importants, ils ne peuvent probablement pas expliquer la disparition des océans primitifs de Mars. A I'origine, Vénus devait également être recouverte d'eau, mais cette dernière s'est évaporée et le peu qu'il en reste (sous forme de vapeur) continue de s'en échapper comme en témoignent les taux d'échappement actuels d'hydrogène et d'oxygène calculés à partir des mesures de VEX. Cette thématique, qui nécessite d'aborder les planètes en tant que systèmes, constitués d'enveloppes en interaction mutuelle, avec à leur sommet le vent solaire, est fondamentale pour comprendre l'évolution des planètes tellurique en référence à la Terre. 1) Le problème “planétologique“ Il consiste à étudier de façon spécifique l'échappement des ions planétaires de Mars et Vénus. La résolution de ce problème passe par l'étude de la structure de cette interaction du vent solaire avec la planète ou plus précisément du couplage entre un vent de plasma rapide, sans collision, et un gaz neutre via des processus d'ionisation. En effet, cette interaction conduit à la formation d'un sillage rempli d'ions d'origine atmosphérique. La comparaison des environnements ionisés des deux planètes a révélé des similitudes et des différences dans les diverses régions plasma qui les entourent. Le calcul des taux d'échappement – ici échappement causé par l'interaction avec le vent solaire – permet de quantifier la perte atmosphérique et de mieux comprendre le rôle de ce type d'échappement dans la disparition de l'eau sur Mars et Vénus. 2) Le problème “physique“ Il consiste à étudier les mécanismes physiques responsables de l'échappement du matériel planétaire. L'étude de l'accélération des ions en fonction de différentes régions magnétosphériques révèle des différences à l'origine de la répartition spatiale et énergétique des différents ions, observés dans les queues de Mars et Vénus. Les mécanismes d'accélération agissant dans la région centrale de la queue, la plasma sheet sont dus à la forte tension magnétique jxB et à un champ électrique de polarisation. La seconde région, plus externe est le siège d'une accélération par le champ électrique interplanétaire et à un champ électrique de séparation de charge"
"John Carter. Étude des minéraux hydratés à la surface de Mars par les imageurs hyperspectraux OMEGA/MEx et CRISM/MRO. Autre. Université Paris Sud - Paris XI, 2011. Français. ⟨NNT : 2011PA112216⟩. ⟨tel-00657804⟩","La planète Mars a connu une période où l'eau liquide était durablement stable. Outre les vestiges morphologiques d'une activité hydrologique en surface, l'interaction chimique de l'eau avec la croûte basaltique s'est traduite par la formation d'argiles et de sels hydratés en surface et en profondeur. Ces minéraux hydratés ont été détectés à la surface de Mars en 2004 grâce à l'instrument OMEGA, l'imageur hyperspectral infrarouge proche embarqué sur la sonde européenne Mars Express. Leur étude permet de reconstruire l'histoire de l'activité aqueuse sur Mars et de caractériser une période ancienne où l'environnement a pu être favorable à l'apparition d'une chimie pré-biotique. Ce travail de thèse s'intéresse aux environnements aqueux de Mars en couplant les données minéralogiques des imageurs hyperspectraux embarqués OMEGA/Mars Express et CRISM/Mars Reconnaissance Orbiter avec la morphologie. De nouveaux outils de traitement et d'analyse des données sont développés et ont permis la détection et la caractérisation spectrale de plus d'un millier de dépôts de minéraux hydratés sur Mars, fournissant une vue d'ensemble de l'altération. Celle-ci a eu lieu principalement dans la première partie du Noachien et a surtout formé des phyllosilicates ferro-magnésiens de la famille des vermiculites et smectites. Une importante diversité minérale est par ailleurs constatée avec une dizaine de familles minérales différentes, traçants des conditions géo-chimiques variées. Placés dans leur contexte géologique, certaines détections permettent de proposer l'existence passée d'un système hydrologique sur l'ensemble de la planète qui a donné naissance à un cycle des argiles similaire au cycle terrestre. Il apparait par ailleurs que les cratères d'impact sont le contexte privilégié des minéraux hydratés, mais le lien entre ces derniers et les processus d'impact demeure ambigu. La découverte d'un cycle des argiles est compatible avec l'hypothèse d'une planète potentiellement habitable au Noachien mais qui devra être vérifiée par l'exploration in-situ."
"Naila Chaouche. De l’étude de l’évolution de la matière organique dans un environnement martien simulé à sa recherche in situ par l'instrument MOMA lors de la mission spatiale Exomars 2022. Astrophysique [astro-ph]. Université Paris-Est Créteil Val-de-Marne - Paris 12, 2021. Français. ⟨NNT : 2021PA120044⟩. ⟨tel-04025993⟩","La détection de matière organique est l’un des objectifs principaux des missions spatiales actuelles et futures vers la planète Mars. En effet, des molécules organiques ont été apportées sur la planète rouge par les flux météoritiques ou auraient pu être produites in situ. Cependant les sources météoritiques sont les seules dont on puisse être certains et qui sont toujours actives. Malgré la diversité des familles chimiques de ces sources, à ce jour, très peu de molécules organiques ont été détectées à la surface de Mars. Il existe deux hypothèses principales pour expliquer les différences observées entre les molécules détectées et les molécules supposées présentes à la surface de Mars. La première hypothèse concerne les biais directement liés à l’instrumentation utilisée in situ pour l’analyse des échantillons prélevés. La seconde hypothèse est liée à l’impact de l’environnement martien sur l’évolution de la matière organique en surface. L’objectif de cette thèse est d’apporter des éléments de réponses pour les deux hypothèses posées concernant la problématique de la détection de matière organiques sur Mars, et notamment dans le contexte de la future missions spatiale Exomars dont le lancement est prévu pour 2022. Une partie de mes travaux a été orientée vers la caractérisation de certains biais analytiques possibles pour les futures analyses réalisées par l’instrument MOMA (Mars Organic Molecules Analyzer) de la mission Exomars. Plus précisément, l’une des procédures d’extraction chimique de MOMA, permettant de volatiliser des molécules potentiellement présentes, a été testée. Le résultat principal est que cette procédure sera moins efficace sur Mars qu’une réaction classique de laboratoire. Néanmoins, MOMA serait capable d’analyser des molécules organiques tels que les acides aminés. Le deuxième volet de ces travaux concerne l’étude de l’évolution de la matière organique à la surface de Mars afin d’orienter les recherches de molécul es organiques en surface. Plus précisément, l’effet du rayonnement UV et de la présence de sels de perchlorates a été étudié à l’aide d’une chambre de simulation martienne : MOMIE (Mars Organic Matter Irradiation and Evolution). La famille de molécules ciblée pour cette étude est la famille des bases azotées pyrimidiques. Les résultats obtenus indiquent que ces molécules sont susceptibles d’évoluer lorsqu’elles sont exposées au rayonnement UV et en présence de perchlorates à la surface de Mars."
